agency_id,rooms_page,pax_page
4927,48,2
58384,2,1
28394,193,67
41961,8,4
65977,42,15
33563,115,18
38543,35,21
39979,31,24
59054,59,11
1201,40,14
25534,431,59
21866,17,3
7212,158,52
36243,181,31
4502,7,1
39023,20,4
4917,89,28
37020,125,28
55952,45,23
66088,51,10
42373,33,2
4806,56,12
29917,92,20
4294,254,56
2367,74,27
12732,468,48
66930,104,18
24364,2,1
40022,24,8
19382,47,6
2189,16,6
4617,83,12
63691,173,17
27457,187,58
60852,51,0
18502,5,1
9234,520,74
60531,128,12
10425,34,15
9123,22,13
20908,8,3
63950,12,3
48550,67,29
49972,448,9
25036,7,4
45454,20,2
21072,18,6
39247,10,2
21073,10,3
40711,33,6
23210,91,26
53198,60,11
63701,2,1
16998,102,6
62508,29,0
21125,74,14
41273,1,0
17436,68,12
40522,104,12
22555,52,4
15000,5,1
5635,72,9
26359,300,61
40815,43,3
353,11,6
62810,10,3
48074,13,4
46179,334,48
40376,67,37
17094,71,17
59817,111,4
64815,50,8
12575,17,1
1102,40,13
35520,227,51
40019,76,2
41993,107,11
52525,66,14
45008,2,0
65108,20,4
65865,37,3
23116,15,6
56854,375,51
45049,184,11
47290,5,0
30504,165,27
61626,37,11
50102,167,21
58171,11,0
3185,39,5
28698,285,4
11033,17,5
39294,108,25
9230,59,14
36025,161,25
7699,48,9
28928,167,86
9718,5,2
9396,64,10
9146,11,1
13045,63,24
5195,116,9
37242,45,18
44433,13,2
3333,60,20
41190,67,8
630,90,13
45591,81,5
33558,27,6
16056,9,0
35021,184,18
21678,10,2
13056,75,10
53804,17,1
31202,39,5
60741,86,21
60285,181,18
22918,68,23
21365,80,15
9985,157,59
61814,73,12
54148,16,4
40031,19,5
39808,6,0
19600,191,22
53745,187,6
42572,19,2
66818,121,24
52898,298,33
13516,201,49
4765,65,13
56891,64,2
64002,44,1
9263,13,0
2534,233,72
45744,31,5
54074,28,7
59888,16,8
2028,44,8
64578,78,12
9981,16,2
42396,12,6
3739,60,15
64689,28,2
18872,438,41
63986,16,4
51403,42,20
25324,29,3
65243,56,16
9387,288,114
37803,36,3
1615,26,5
5979,35,7
52100,44,4
17635,175,27
3267,35,8
6187,30,1
42694,398,325
28388,12,0
38582,173,44
11520,32,14
34421,39,27
3359,260,12
32935,11,2
11249,38,1
54538,66,1
37366,173,5
42030,232,33
40452,2,1
40525,7,1
48583,59,3
58949,26,3
56596,76,11
31642,64,59
26296,10,1
54202,148,109
10613,15,12
42648,236,9
2640,41,16
24986,17,3
43001,290,142
66177,51,0
904,31,4
16994,23,18
