agency_id,agency_name,region,created_on,first_overall_sale,first_q_sale,last_q_sale,freq,mon,rec,days_active,rel_freq,new_agency,rec_log,rel_freq_log,mon_log,rec_score,freq_score,mon_score,RFM
30178,DESERT WORLD TOURS LLC,Middle East,2019-06-20,2021-05-30,2022-10-01,2022-12-13,7,4543.14,19,74,0.0945945945945946,0,2.9444389791664403,-2.3581549441488563,8.421373681925566,2,1,2,5
51702,NEETO HOLIDAYS (NEETOHOLIDAYS.COM),Middle East,2021-11-18,2021-11-25,2022-10-01,2022-12-29,157,171144.95,3,90,1.7444444444444445,0,1.0986122886681098,0.556436135018043,12.050266137241973,3,3,3,9
37295,GAP TRAVEL,Africa,2020-02-13,2021-03-30,2022-10-01,2022-12-29,44,27686.09,3,90,0.4888888888888889,0,1.0986122886681098,-0.7156200364120039,10.228685399982844,3,2,3,8
15946,GULF WORLD TRAVEL AND TOURISM ,Middle East,2018-01-08,2018-04-14,2022-10-01,2022-10-06,2,938.23,87,6,0.3333333333333333,0,4.465908118654584,-1.0986122886681098,6.843995121507626,1,2,1,4
48287,CORKER FZ LLC,Middle East,2021-09-28,2021-11-14,2022-10-01,2022-12-05,4,11115.63,27,66,0.06060606060606061,0,3.295836866004329,-2.803360380906535,9.31610750495398,2,1,3,6
1306,TRIPMAKERS FZ- LLC,Middle East,2012-10-17,2019-07-04,2022-10-01,2022-12-26,60,84920.38,6,87,0.6896551724137931,0,1.791759469228055,-0.37156355643248296,11.349469390606993,3,3,3,9
442,DANA TRAVELS QATAR,Middle East,2011-10-16,2012-05-19,2022-10-01,2022-12-29,69,72606.9,3,90,0.7666666666666667,0,1.0986122886681098,-0.2657031657330056,11.192815237619062,3,3,3,9
3121,RNB TRAVEL,Africa,2014-04-09,2014-05-19,2022-10-01,2022-12-30,41,44383.18,2,91,0.45054945054945056,0,0.6931471805599453,-0.7972874398125422,10.70061584781772,3,2,3,8
45651,REHLATY TRAVEL LLC,Middle East,2021-07-08,2022-02-10,2022-10-01,2022-11-11,3,1434.37,51,42,0.07142857142857142,0,3.9318256327243257,-2.639057329615259,7.268481007404055,1,1,1,3
23570,TRAVELLARSBD,APAC,2018-11-26,2018-12-01,2022-10-01,2022-10-01,4,2553.48,92,1,4.0,0,4.5217885770490405,1.3862943611198906,7.845212413670105,1,3,2,6
1848,HORIZON KONNECT,Middle East,2013-05-28,2013-06-05,2022-10-01,2022-12-29,25,17717.57,3,90,0.2777777777777778,0,1.0986122886681098,-1.2809338454620642,9.782312081572613,3,2,3,8
46985,ROSE TRAVELS ,Middle East,2021-08-21,2021-09-29,2022-10-01,2022-12-28,10,22829.95,4,89,0.11235955056179775,0,1.3862943611198906,-2.186051276738094,10.035828549420698,3,1,3,7
19600,DSK TRAVELS LLC,Middle East,2018-07-10,2018-09-08,2022-10-01,2022-12-28,54,60788.16,4,89,0.6067415730337079,0,1.3862943611198906,-0.4996523231678654,11.015150312148473,3,2,3,8
36426,TRAVIGO,Middle East,2020-01-15,2020-01-29,2022-10-01,2022-12-24,40,32793.79,8,85,0.47058823529411764,0,2.0794415416798357,-0.7537718023763802,10.397994447178894,3,2,3,8
7383,ALABANDA TOURISM CO. INC.,Middle East,2016-05-03,2016-05-12,2022-10-01,2022-12-30,396,252785.87,2,91,4.351648351648351,0,0.6931471805599453,1.4705547047376304,12.44029804570537,3,3,3,9
25776,METRO TRAVELS.,UK,2019-02-28,2019-02-28,2022-10-01,2022-12-14,3,2869.4,18,75,0.04,0,2.8903717578961645,-3.2188758248682006,7.9618582276642895,2,1,2,5
20272,AFRICANA HOTEL - MAHARA GROUP,Middle East,2018-08-02,2018-08-03,2022-10-01,2022-12-15,13,7761.1,17,76,0.17105263157894737,0,2.833213344056216,-1.7657839828247943,8.956879355708637,2,1,2,5
55766,AL SAFINA TRAVEL & TOURISM AGENCY,Middle East,2022-03-12,2022-03-17,2022-10-01,2022-12-25,9,5710.69,7,86,0.10465116279069768,0,1.9459101490553132,-2.257122718917288,8.650095135979887,3,1,2,6
2535,PREMIUM CLASS TRAVELS & TOURISM(RUH),Middle East,2013-12-30,2014-01-12,2022-10-01,2022-10-01,2,1133.92,92,1,2.0,0,4.5217885770490405,0.6931471805599453,7.033435935061946,1,3,1,5
3964,HANIEL TRAVEL (HTS),Africa,2014-09-23,2014-10-01,2022-10-01,2022-12-24,107,107036.32,8,85,1.2588235294117647,0,2.0794415416798357,0.2301775779715897,11.58092349509991,3,3,3,9
7102,ITL WORLD,Middle East,2016-03-30,2016-05-16,2022-10-01,2022-12-24,21,15163.38,8,85,0.24705882352941178,0,2.0794415416798357,-1.3981288187668934,9.626638589490677,3,2,3,8
669,ALANAN TOURS & TRAVEL (MADINAH),Middle East,2011-12-14,2013-03-19,2022-10-01,2022-12-27,67,35115.49,5,88,0.7613636363636364,0,1.6094379124341003,-0.2726441950872404,10.46639762264641,3,3,3,9
